id,lens,metric_space,n_cubes,overlap,eps,min_samples,n_nodes,n_edges,n_components,n_loops,avg_degree,max_degree,density,avg_node_size,max_node_size,size_entropy,collapse_ratio,score,var_mgAF_dia_total,var_mgAF_suple_1T,var_mgAF_saf,var_total_AF_mg,var_dias_saf,var_pn_hijo,var_eg_hijo,var_edad_madre,var_imc_antes,var_dif_imc,var_hijo_problema,var_consume_suple,bio_score
4302,pca_full_2d,all_mixed,20,0.6,1.0,2,43,144,6,107,6.7,8,0.1595,2.0,2,3.761,0.003,0.8997,3.5053,3.618,3.189,27477.2791,4176.1274,10432.5852,0.3853,13.9486,6.3936,0.4867,0.0,0.0,0.1672740994456937
8589,umap_2d,all_mixed,20,0.4,1.5,2,52,43,24,15,1.65,4,0.0324,2.1,4,3.942,0.006,0.8994,3.7019,3.7634,3.8108,161542.8545,5275.2352,86976.9295,0.955,11.5773,6.4737,0.833,0.0092,0.0189,0.2576482866555913
18168,edad_madre,all_mixed,12,0.6,2.0,2,64,33,37,6,1.03,3,0.0164,2.3,5,4.114,0.007,0.8993,3.1547,3.1976,3.2734,117906.2555,4227.1719,88370.1258,1.0462,14.2653,18.42,1.6903,0.0255,0.072,0.23904418534018249
18258,edad_madre,all_mixed,16,0.6,2.0,2,53,28,29,4,1.06,4,0.0203,2.3,5,3.935,0.007,0.8993,3.3963,3.4546,3.5353,133102.6145,4540.1193,89660.2707,1.0754,16.8789,17.863,1.6373,0.0251,0.0363,0.2557142401486294
18348,edad_madre,all_mixed,20,0.6,2.0,2,42,22,24,4,1.05,4,0.0256,2.3,5,3.702,0.007,0.8993,3.0522,3.1222,3.3393,109158.4752,3880.2405,97817.8374,1.146,16.6634,16.8049,1.6069,0.0215,0.0454,0.22873048377740882
15375,eg_hijo,cont_std,16,0.6,1.5,2,42,31,18,7,1.48,2,0.036,2.5,6,3.677,0.009,0.8991,2.2297,2.2408,2.3724,17147.744,5057.5818,141426.0158,0.4228,11.4932,10.0781,1.6331,0.0423,0.0454,0.18226325746288308
6645,umap_5_05,cont_std,12,0.6,1.5,2,44,34,18,8,1.55,2,0.0359,2.5,6,3.725,0.009,0.8991,2.1913,2.1872,2.3079,16438.3439,5462.6994,119965.1949,0.5266,12.9869,7.7023,1.752,0.0347,0.0434,0.16783179986729477
14115,imc_antes,cont_std,8,0.6,1.5,2,42,30,18,6,1.43,2,0.0348,2.5,6,3.678,0.009,0.8991,2.5146,2.5359,2.6763,19084.6347,5134.7911,112811.8055,0.4574,14.2026,9.364,1.4738,0.0293,0.0454,0.17428840025635536
2415,pca_2d,cont_std,16,0.6,1.5,2,94,226,18,150,4.81,8,0.0517,2.5,6,4.491,0.009,0.8991,2.3781,2.3664,2.5044,17510.9483,5908.9393,124752.3192,0.5731,10.3622,5.4641,1.4462,0.0622,0.0407,0.21364789111114188
2289,pca_2d,cont_std,12,0.4,1.5,2,44,41,18,15,1.86,3,0.0433,2.3,6,3.745,0.009,0.8991,2.6697,2.7039,2.8404,20000.1353,5254.4141,135228.6483,0.4764,16.2538,10.9514,1.9542,0.0383,0.0222,0.196866363014935
6735,umap_5_05,cont_std,16,0.6,1.5,2,47,40,18,11,1.7,2,0.037,2.5,6,3.794,0.009,0.8991,2.8811,2.8813,3.0149,21587.1181,5373.8429,126713.5693,0.5294,12.3318,7.8728,1.6907,0.0365,0.0598,0.20263520741958232
7707,umap_2d,cont_std,12,0.5,1.5,2,63,87,18,42,2.76,3,0.0445,2.6,6,4.082,0.009,0.8991,2.7791,2.7901,2.8773,20957.7544,4446.3693,114865.8052,0.5186,13.9585,9.5634,1.6873,0.0323,0.0307,0.19089995242245694
7689,umap_2d,cont_std,12,0.4,1.5,2,51,57,18,24,2.24,3,0.0447,2.5,6,3.879,0.009,0.8991,2.4397,2.4109,2.4829,18244.7969,4385.5396,112993.2815,0.5979,11.2615,8.4161,1.8017,0.0449,0.0377,0.1917758714750147
11145,mgAF_suple_1T,cont_std,20,0.6,1.5,2,45,37,18,10,1.64,2,0.0374,2.6,6,3.736,0.009,0.8991,2.287,2.3179,2.4267,17713.7403,4058.285,126294.8498,0.4081,14.4886,9.1392,1.5548,0.0353,0.0217,0.17372853938842905
2326,pca_2d,cont_std,12,0.6,1.5,3,42,132,6,96,6.29,8,0.1533,3.6,6,3.705,0.009,0.8991,2.1934,2.1306,2.2449,16955.1565,3894.2177,152463.7529,0.1856,3.6219,7.4348,0.1738,0.059,0.0,0.20057100233581415
8967,hibrido_umap_af,cont_std,20,0.5,1.5,2,64,88,18,42,2.75,3,0.0437,2.6,6,4.089,0.009,0.8991,2.3852,2.3827,2.4961,17870.9167,4743.6752,108349.745,0.506,13.7469,9.3012,1.6573,0.0308,0.0303,0.1696162914138226
18435,dif_imc,cont_std,8,0.6,1.5,2,44,34,18,8,1.55,2,0.0359,2.5,6,3.727,0.009,0.8991,2.4763,2.4693,2.6054,18558.2058,5406.0453,124577.5842,0.416,11.1871,8.5696,1.3865,0.0334,0.0434,0.1785952509978763
2469,pca_2d,cont_std,20,0.4,1.5,2,41,35,18,12,1.71,3,0.0427,2.6,6,3.655,0.009,0.8991,2.4282,2.4193,2.5485,18253.1373,6314.6538,98184.5636,0.4328,10.4072,6.3505,1.297,0.0283,0.088,0.1659754504846742
4485,umap_15_02,cont_std,12,0.6,1.5,2,44,35,18,9,1.59,2,0.037,2.5,6,3.726,0.009,0.8991,2.1733,2.1801,2.2314,16811.2653,3961.9663,118614.8401,0.4788,14.1938,7.7137,1.641,0.0347,0.0635,0.16680128343369605
2397,pca_2d,cont_std,16,0.5,1.5,2,65,92,18,45,2.83,3,0.0442,2.5,6,4.12,0.009,0.8991,2.7842,2.7938,2.9576,20861.3298,5668.6497,124019.5634,0.363,13.5476,7.2521,1.5823,0.025,0.0578,0.1811986600897766
3297,pca_full_2d,cont_std,8,0.5,1.5,2,41,39,17,15,1.9,3,0.0476,2.7,6,3.627,0.009,0.8991,2.053,2.0512,2.1356,15292.1002,5818.3123,103257.8681,0.335,13.1104,12.6649,1.5016,0.0266,0.0464,0.14656804935160747
1155,pca_2,cont_std,8,0.6,1.5,2,46,38,18,10,1.65,2,0.0367,2.5,6,3.768,0.009,0.8991,2.681,2.6793,2.8133,20254.3323,5451.716,129356.3918,0.444,13.0795,8.4458,1.6139,0.0297,0.061,0.1841181053544643
8949,hibrido_umap_af,cont_std,20,0.4,1.5,2,44,41,18,15,1.86,3,0.0433,2.7,6,3.703,0.009,0.8991,3.0836,3.1029,3.1756,23591.1465,3587.3795,98296.8828,0.421,11.5034,9.2526,1.3327,0.025,0.0222,0.19204061451558926
2325,pca_2d,cont_std,12,0.6,1.5,2,111,321,18,228,5.78,8,0.0526,2.6,6,4.648,0.009,0.8991,2.5483,2.5446,2.6644,19360.5912,4430.8211,107683.3465,0.4704,10.6954,7.6863,1.2419,0.0355,0.0347,0.18290873800487992
2379,pca_2d,cont_std,16,0.4,1.5,2,46,46,18,18,2.0,3,0.0444,2.5,6,3.775,0.009,0.8991,2.9864,2.9955,3.2198,22511.3552,4649.477,134947.6751,0.3883,11.3359,8.6966,1.232,0.0335,0.0416,0.20352462366116564
5475,umap_30_01,cont_std,8,0.6,1.5,2,44,35,18,9,1.59,2,0.037,2.6,6,3.713,0.009,0.8991,1.8869,1.8883,1.9938,14759.1205,5086.7436,113767.3272,0.384,13.7666,7.81,1.624,0.0296,0.0635,0.14534561269948934
2307,pca_2d,cont_std,12,0.5,1.5,2,68,98,18,48,2.88,5,0.043,2.5,6,4.175,0.009,0.8991,2.6199,2.6306,2.7794,19691.1212,5150.9718,126747.9185,0.4898,12.0107,9.2384,1.5437,0.0331,0.0285,0.18613499834637862
2235,pca_2d,cont_std,8,0.6,1.5,2,115,339,18,242,5.9,8,0.0517,2.6,6,4.679,0.009,0.8991,2.1954,2.2016,2.284,17018.0011,4477.0132,135137.4453,0.3796,14.6842,8.8758,1.6836,0.0335,0.0495,0.16765623329599802
10965,mgAF_suple_1T,cont_std,12,0.6,1.5,2,47,41,18,12,1.74,2,0.0379,2.6,6,3.782,0.009,0.8991,2.2618,2.2679,2.3721,17347.8342,4404.0123,128478.9608,0.4441,14.1214,9.4939,1.5168,0.0353,0.0208,0.1726440550535553
7797,umap_2d,cont_std,16,0.5,1.5,2,64,88,18,42,2.75,5,0.0437,2.5,6,4.112,0.009,0.8991,2.3872,2.3827,2.4961,17870.9167,4743.6752,99305.9866,0.5191,12.6383,9.4858,1.2897,0.0329,0.0303,0.17126460867860213
7725,umap_2d,cont_std,12,0.6,1.5,2,94,215,18,139,4.57,5,0.0492,2.5,6,4.48,0.009,0.8991,2.7079,2.7307,2.8321,20614.5833,3962.3679,113659.3147,0.496,13.6938,9.2359,1.3765,0.0436,0.0208,0.2025989103505236
2487,pca_2d,cont_std,20,0.5,1.5,2,56,68,18,30,2.43,3,0.0442,2.5,6,3.959,0.009,0.8991,3.1652,3.1618,3.3099,23506.6872,5663.0961,110754.1591,0.4962,11.4963,7.6877,1.4258,0.0526,0.0663,0.23412166524363728
2217,pca_2d,cont_std,8,0.5,1.5,2,63,87,18,42,2.76,3,0.0445,2.5,6,4.085,0.009,0.8991,2.3788,2.3834,2.5624,17670.448,5314.73,122677.0117,0.4553,12.0337,9.0125,1.6309,0.0509,0.0156,0.19767125593184331
8985,hibrido_umap_af,cont_std,20,0.6,1.5,2,87,177,18,108,4.07,5,0.0473,2.5,6,4.405,0.009,0.8991,2.1946,2.206,2.2753,17002.9326,4300.7268,124471.9905,0.411,13.6109,9.7239,1.6615,0.0318,0.0642,0.1642304620349689
7869,umap_2d,cont_std,20,0.4,1.5,2,53,65,18,30,2.45,3,0.0472,2.3,6,3.934,0.009,0.8991,1.9276,1.8916,1.9865,14184.3233,5554.556,123727.8381,0.4052,15.1323,9.6952,1.8461,0.0362,0.0363,0.15644096022229223
2236,pca_2d,cont_std,8,0.6,1.5,3,40,123,6,89,6.15,8,0.1577,3.8,6,3.654,0.009,0.8991,2.2717,2.2067,2.25,17651.44,2862.25,138365.6948,0.1986,3.9194,8.0978,0.1445,0.0608,0.0,0.20460258990958777
2505,pca_2d,cont_std,20,0.6,1.5,2,93,218,18,143,4.69,8,0.051,2.4,6,4.482,0.009,0.8991,2.5894,2.6031,2.8056,19536.4385,5847.894,139878.6697,0.3678,13.1857,9.1231,1.5924,0.0416,0.0412,0.19685516256864025
7635,umap_2d,cont_std,8,0.6,1.5,2,99,260,18,179,5.25,8,0.0536,2.6,6,4.528,0.009,0.8991,2.0904,2.1167,2.1863,16259.8605,3224.9784,105582.269,0.4767,13.1917,8.4763,1.2293,0.0333,0.0198,0.1597191474207408
4575,umap_15_02,cont_std,16,0.6,1.5,2,40,27,18,5,1.35,2,0.0346,2.6,6,3.612,0.009,0.8991,2.3609,2.3733,2.44,18190.5846,4330.9285,105282.1404,0.4458,12.6741,10.6032,1.4878,0.0272,0.0694,0.16323892969917705
7887,umap_2d,cont_std,20,0.5,1.5,2,63,85,18,40,2.7,6,0.0435,2.4,6,4.107,0.009,0.8991,2.0552,2.0427,2.1214,15444.0051,4807.7987,119244.0293,0.4136,13.8453,9.8876,1.6322,0.0369,0.0307,0.1632203474740457
18525,dif_imc,cont_std,12,0.6,1.5,2,41,28,18,5,1.37,2,0.0341,2.4,6,3.655,0.009,0.8991,2.8356,2.8377,2.9744,21470.0624,4624.054,104187.5406,0.5529,12.3461,6.7913,1.508,0.0283,0.0464,0.18679106645069218
7905,umap_2d,cont_std,20,0.6,1.5,2,95,234,18,157,4.93,8,0.0524,2.6,6,4.489,0.009,0.8991,2.7904,2.8311,2.9695,21549.7343,4054.1262,100824.9552,0.4899,11.0467,7.7835,1.3133,0.0289,0.0403,0.18543757537249186
7815,umap_2d,cont_std,16,0.6,1.5,2,100,272,18,190,5.44,8,0.0549,2.5,6,4.542,0.009,0.8991,2.1275,2.1416,2.2036,16311.6941,3751.6513,112038.4488,0.4524,15.6207,11.3805,1.8591,0.0223,0.0196,0.14715719137484848
9975,mgAF_total,cont_std,16,0.6,1.5,2,44,34,18,8,1.55,2,0.0359,2.6,6,3.712,0.009,0.8991,2.3836,2.412,2.5207,18470.2345,4342.577,114082.0371,0.4086,14.11,7.732,1.5974,0.0282,0.0434,0.16689673371179561
4665,umap_15_02,cont_std,20,0.6,1.5,2,41,29,18,6,1.41,2,0.0354,2.5,6,3.651,0.009,0.8991,2.3097,2.3222,2.3843,17828.5015,4232.4247,109520.0935,0.4334,13.6169,8.3611,1.7223,0.0283,0.0678,0.16287751521127752
8574,umap_2d,all_mixed,20,0.3,2.0,2,45,16,32,3,0.71,3,0.0162,2.3,6,3.759,0.009,0.8991,4.3024,4.3523,4.46,198067.3895,8032.9983,82493.4946,1.0954,8.4649,22.8843,2.6863,0.0175,0.0622,0.3093866493203837
255,pca_1,cont_std,16,0.6,1.5,2,42,30,18,6,1.43,2,0.0348,2.5,6,3.676,0.009,0.8991,2.5773,2.5782,2.7211,19168.1074,5678.2582,124490.754,0.5491,11.6676,7.9102,1.5342,0.036,0.0454,0.1879968984866285
7617,umap_2d,cont_std,8,0.5,1.5,2,63,87,18,42,2.76,3,0.0445,2.5,6,4.075,0.009,0.8991,2.6606,2.6931,2.7352,20912.0521,2702.3689,114016.1686,0.4754,14.2699,9.7145,1.5037,0.0519,0.0307,0.2117901111335927
15465,eg_hijo,cont_std,20,0.6,1.5,2,41,28,18,5,1.37,2,0.0341,2.4,6,3.666,0.009,0.8991,2.8766,2.8819,3.0268,21534.2142,5215.0392,107242.3891,0.4948,11.8593,8.9025,1.5681,0.0283,0.0464,0.18850971695274088
7599,umap_2d,cont_std,8,0.4,1.5,2,41,35,18,12,1.71,3,0.0427,2.5,6,3.661,0.009,0.8991,2.8706,2.8707,2.9209,21922.4384,4030.1047,114458.3003,0.4767,14.6207,13.0953,1.9798,0.0247,0.0464,0.18439476901514107
345,pca_1,cont_std,20,0.6,1.5,2,42,30,18,6,1.43,2,0.0348,2.5,6,3.678,0.009,0.8991,2.7792,2.7965,2.962,21066.294,5082.7488,120674.126,0.4345,13.9754,10.1288,1.6661,0.0277,0.0454,0.18501480971569836
75,pca_1,cont_std,8,0.6,1.5,2,45,36,18,9,1.6,2,0.0364,2.6,6,3.736,0.009,0.8991,2.0858,2.102,2.1847,16218.1435,4256.1121,127079.2585,0.3971,14.5288,9.3656,1.5802,0.0353,0.0425,0.1642912383904973
19515,dias_saf,cont_std,8,0.6,1.5,2,48,44,18,14,1.83,2,0.039,2.6,6,3.803,0.009,0.8991,2.6087,2.6435,2.7344,20371.2478,3260.2972,125414.8044,0.4443,14.2325,9.4007,1.4545,0.0335,0.0204,0.1863527691170197
165,pca_1,cont_std,12,0.6,1.5,2,45,36,18,9,1.6,2,0.0364,2.7,6,3.739,0.009,0.8991,2.6348,2.639,2.7832,20041.4449,4780.5736,123736.1804,0.4847,10.9646,8.1079,1.3231,0.0365,0.0425,0.19079904226859642
1245,pca_2,cont_std,12,0.6,1.5,2,44,34,18,8,1.55,2,0.0359,2.5,6,3.726,0.009,0.8991,2.4463,2.4469,2.5635,18466.8684,4907.6147,105307.1028,0.4591,12.4638,8.1415,1.4421,0.0308,0.0434,0.1716271366897144
9795,mgAF_total,cont_std,8,0.6,1.5,2,45,37,18,10,1.64,2,0.0374,2.5,6,3.748,0.009,0.8991,2.7848,2.8238,2.9402,21395.6718,4058.285,122398.3138,0.4216,14.6691,9.6108,1.5731,0.0277,0.0217,0.18597240073910284
1335,pca_2,cont_std,16,0.6,1.5,2,40,27,18,5,1.35,2,0.0346,2.5,6,3.635,0.009,0.8991,2.3614,2.358,2.4844,17762.9658,5353.3818,121018.9485,0.4911,11.4184,6.0562,1.4361,0.0537,0.0475,0.20061903210397591
14385,imc_antes,cont_std,20,0.6,1.5,2,40,27,18,5,1.35,2,0.0346,2.5,6,3.634,0.009,0.8991,2.9176,2.9402,3.0944,21949.9623,5353.3818,118711.1707,0.4889,12.25,8.1616,1.5499,0.0246,0.0475,0.18747273936453404
8895,hibrido_umap_af,cont_std,16,0.6,1.5,2,98,244,18,164,4.98,8,0.0513,2.7,6,4.5,0.009,0.8991,2.2004,2.2288,2.2824,17252.1046,3580.3699,99825.8574,0.3879,13.84,9.3243,1.5361,0.0242,0.0575,0.1510754886582313
5745,umap_30_01,cont_std,20,0.6,1.5,2,43,32,18,7,1.49,2,0.0354,2.6,6,3.689,0.009,0.8991,2.2113,2.2154,2.3591,16782.8569,5535.8909,117038.0912,0.5093,12.0091,9.6636,1.4271,0.0287,0.0443,0.160444094851353
8877,hibrido_umap_af,cont_std,16,0.5,1.5,2,64,88,18,42,2.75,3,0.0437,2.6,6,4.091,0.009,0.8991,2.6336,2.6651,2.7344,20623.5108,3084.7632,122067.857,0.4562,14.2208,9.4865,1.4612,0.0329,0.0303,0.18627447401847927
17085,pn_hijo,all_mixed,12,0.6,1.5,2,44,21,27,4,0.95,2,0.0222,2.2,6,3.74,0.009,0.8991,3.4976,3.59,3.5841,139280.1979,3819.927,68416.4552,1.0304,9.4567,6.5688,0.7263,0.0056,0.0826,0.23386823368047605
6825,umap_5_05,cont_std,20,0.6,1.5,2,45,36,18,9,1.6,2,0.0364,2.5,6,3.746,0.009,0.8991,2.1584,2.1652,2.2588,16584.0696,5018.681,109024.1983,0.4661,13.3066,9.7529,1.7196,0.0302,0.0622,0.15860080166013205
12045,mgAF_saf,cont_std,12,0.6,1.5,2,40,33,18,11,1.65,2,0.0423,2.6,6,3.613,0.009,0.8991,1.2317,1.2454,1.26,9883.0472,2502.7436,123488.9557,0.4202,15.9706,9.5623,1.5753,0.0375,0.0244,0.1280922612311035
8931,hibrido_umap_af,cont_std,20,0.3,1.5,2,40,34,18,12,1.7,3,0.0436,2.7,6,3.602,0.009,0.8991,3.2691,3.2865,3.3594,25122.3513,3240.3317,105006.603,0.4452,11.1321,9.7249,1.2539,0.0272,0.0244,0.20460162507800986
14295,imc_antes,cont_std,16,0.6,1.5,2,42,30,18,6,1.43,2,0.0348,2.5,6,3.678,0.009,0.8991,2.5659,2.5692,2.7647,19010.6852,6159.4858,125223.7371,0.4729,11.6588,8.0386,1.5044,0.044,0.0454,0.1974960483665199
1425,pca_2,cont_std,20,0.6,1.5,2,40,28,18,6,1.4,2,0.0359,2.5,6,3.634,0.009,0.8991,2.3578,2.3649,2.5275,17848.801,5858.1201,138353.7405,0.386,12.0866,7.8398,1.4724,0.0471,0.0475,0.19346678642748605
3477,pca_full_2d,cont_std,16,0.5,1.5,2,44,53,15,24,2.41,3,0.056,2.4,6,3.727,0.009,0.8991,2.5129,2.5147,2.686,18483.3387,6381.3301,139849.5326,0.371,15.9656,6.2643,1.4474,0.0347,0.0434,0.1838033037240976
3585,pca_full_2d,cont_std,20,0.6,1.5,2,64,131,15,82,4.09,8,0.065,2.5,6,4.085,0.009,0.8991,2.409,2.3847,2.5,17487.7187,7050.5414,105140.9554,0.3795,12.2052,10.7066,1.6016,0.0308,0.0586,0.16833766344069842
8805,hibrido_umap_af,cont_std,12,0.6,1.5,2,94,225,18,149,4.79,8,0.0515,2.5,6,4.488,0.009,0.8991,2.2859,2.2749,2.3323,17468.238,3737.8542,129241.2228,0.5415,13.5887,7.7676,1.5429,0.044,0.0309,0.18593425332878702
14205,imc_antes,cont_std,12,0.6,1.5,2,42,30,18,6,1.43,3,0.0348,2.5,6,3.682,0.009,0.8991,2.5112,2.5335,2.6763,19228.6099,5082.7488,127279.46,0.431,13.1015,8.2832,1.6339,0.0236,0.0454,0.16849710231041545
19785,dias_saf,cont_std,20,0.6,1.5,2,49,47,17,15,1.92,2,0.04,2.6,6,3.824,0.009,0.8991,2.5534,2.5825,2.7314,19479.313,4043.2914,129569.3464,0.469,13.9524,9.0057,1.4444,0.0364,0.0,0.18820943784853608
5655,umap_30_01,cont_std,16,0.6,1.5,2,41,28,18,5,1.37,2,0.0341,2.6,6,3.652,0.009,0.8991,2.3254,2.338,2.4688,17947.3117,5414.3118,124236.323,0.4188,12.9058,10.2319,1.7227,0.0299,0.0678,0.1677014906405766
6555,umap_5_05,cont_std,8,0.6,1.5,2,48,42,18,12,1.75,2,0.0372,2.6,6,3.804,0.009,0.8991,2.3505,2.3387,2.4371,17719.4235,5276.0908,115268.9756,0.4901,13.0876,9.2955,1.444,0.0335,0.0586,0.1723169315870431
11955,mgAF_saf,cont_std,8,0.6,1.5,2,40,33,18,11,1.65,2,0.0423,2.6,6,3.613,0.009,0.8991,1.2317,1.2454,1.26,9883.0472,2502.7436,123488.9557,0.4202,15.9706,9.5623,1.5753,0.0375,0.0244,0.1280922612311035
8769,hibrido_umap_af,cont_std,12,0.4,1.5,2,43,43,18,18,2.0,3,0.0476,2.7,6,3.673,0.009,0.8991,1.7817,1.8278,1.894,13974.7366,3662.0857,97337.2882,0.3435,15.656,11.1312,1.3609,0.0166,0.0227,0.12150951989413883
8787,hibrido_umap_af,cont_std,12,0.5,1.5,2,62,83,18,39,2.68,3,0.0439,2.6,6,4.057,0.009,0.8991,2.7031,2.7328,2.8096,21098.4542,3177.0016,121211.5614,0.4697,14.6782,9.7875,1.4953,0.0317,0.0312,0.18778707493031643
8679,hibrido_umap_af,cont_std,8,0.4,1.5,2,46,49,18,21,2.13,3,0.0473,2.7,6,3.751,0.009,0.8991,1.4025,1.4306,1.4745,11464.3679,2954.5676,113078.9461,0.3446,14.4167,7.2173,1.6669,0.0286,0.0416,0.12224489126867243
8697,hibrido_umap_af,cont_std,8,0.5,1.5,2,56,71,18,33,2.54,3,0.0461,2.6,6,3.951,0.009,0.8991,1.6775,1.7005,1.7181,13564.2461,2449.9787,125852.7319,0.3982,15.5478,9.7351,1.4925,0.0367,0.0344,0.14774634523266925
3495,pca_full_2d,cont_std,16,0.6,1.5,2,76,171,15,110,4.5,6,0.06,2.3,6,4.282,0.009,0.8991,2.7736,2.7598,2.8227,20755.063,5823.5766,128929.7472,0.3087,14.7728,10.4577,1.9708,0.0449,0.0727,0.20680745998129205
5565,umap_30_01,cont_std,12,0.6,1.5,2,45,36,18,9,1.6,2,0.0364,2.5,6,3.75,0.009,0.8991,2.1411,2.1468,2.2588,16581.7642,4986.0551,125400.7618,0.4683,13.769,7.5372,1.6053,0.039,0.0622,0.17190560341126448
3387,pca_full_2d,cont_std,12,0.5,1.5,2,49,64,15,30,2.61,3,0.0544,2.4,6,3.811,0.009,0.8991,2.3853,2.3573,2.424,17469.1105,5918.7778,114328.4272,0.326,16.068,11.9719,2.0744,0.0568,0.0392,0.20256458595565827
8715,hibrido_umap_af,cont_std,8,0.6,1.5,2,92,219,18,145,4.76,8,0.0523,2.6,6,4.461,0.009,0.8991,2.6939,2.7363,2.7593,21476.6702,2269.3833,122619.7744,0.4377,14.5281,9.9072,1.476,0.0334,0.0315,0.18997446738132942
3315,pca_full_2d,cont_std,8,0.6,1.5,2,80,173,17,110,4.33,7,0.0547,2.5,6,4.313,0.009,0.8991,3.1426,3.151,3.2798,23564.7843,4610.5035,123135.5901,0.353,14.7082,9.8208,1.4477,0.0375,0.0361,0.2138232252446327
3405,pca_full_2d,cont_std,12,0.6,1.5,2,64,112,15,63,3.5,5,0.0556,2.4,6,4.092,0.009,0.8991,2.5025,2.5041,2.6094,18755.4239,5732.8636,111092.2583,0.3519,15.7961,10.3845,1.691,0.0308,0.0586,0.1739604939970657
8139,umap_2d,cont_rob,16,0.4,1.5,2,51,38,25,12,1.49,3,0.0298,2.5,7,3.867,0.01,0.899,3.2277,3.2392,3.4056,71614.7609,5638.4086,109739.3132,0.6003,8.6896,4.8239,1.7408,0.0276,0.0377,0.22429418854970007
8592,umap_2d,all_mixed,20,0.4,2.0,2,74,56,38,20,1.51,5,0.0207,2.3,7,4.259,0.01,0.899,4.0063,4.0256,4.0557,138940.9181,6316.4634,105845.2067,1.0646,10.0664,17.2998,1.9579,0.0152,0.0389,0.2722039577225189
8376,umap_2d,all_mixed,12,0.2,2.0,2,58,24,40,6,0.83,3,0.0145,2.3,7,4.013,0.01,0.899,4.46,4.5141,4.6038,129886.8428,5624.9302,85639.9111,1.0378,8.3409,22.6404,2.7079,0.0138,0.0642,0.2834626514453858
3909,pca_full_2d,cont_rob,20,0.4,1.5,2,41,34,19,12,1.66,3,0.0415,2.4,7,3.648,0.01,0.899,3.173,3.223,3.6109,134077.7531,7248.5932,113087.0153,0.8463,13.7789,3.2925,1.8469,0.0393,0.0238,0.26651213342694546
8247,umap_2d,cont_rob,20,0.5,1.5,2,87,121,24,58,2.78,7,0.0323,2.4,7,4.419,0.01,0.899,2.6194,2.6401,2.7732,76805.8479,5144.2858,109748.1474,0.4944,10.8035,7.9761,1.9748,0.0258,0.0225,0.19742270223647496
8229,umap_2d,cont_rob,20,0.4,1.5,2,67,77,24,34,2.3,4,0.0348,2.4,7,4.154,0.01,0.899,2.8057,2.8195,2.9597,58141.5611,5490.8667,126039.4153,0.5355,11.5279,8.4014,2.4188,0.0239,0.029,0.19781398469267267
17268,pn_hijo,all_mixed,20,0.6,2.0,2,59,34,32,7,1.15,3,0.0199,2.4,7,4.008,0.01,0.899,4.0718,4.0758,4.1636,128599.7201,5443.0833,95279.0836,0.9843,11.094,13.6525,1.9784,0.0187,0.0632,0.27280929715763724
8499,umap_2d,all_mixed,16,0.4,1.5,2,52,48,23,19,1.85,4,0.0362,2.2,7,3.914,0.01,0.899,3.717,3.8089,3.8072,202020.1954,5380.0862,65732.1284,0.7282,9.436,5.1736,0.6673,0.0047,0.037,0.26417104695594834
8607,umap_2d,all_mixed,20,0.5,1.5,2,73,86,25,38,2.36,6,0.0327,2.1,7,4.264,0.01,0.899,4.0834,4.156,4.143,182559.4419,5439.7814,76393.8969,1.0809,11.2952,7.9896,0.9863,0.0129,0.0518,0.28716751486715
8211,umap_2d,cont_rob,20,0.3,1.5,2,46,39,23,16,1.7,4,0.0377,2.5,7,3.768,0.01,0.899,2.9356,2.8975,3.1191,74809.5915,6952.4121,91611.6675,0.6795,11.5751,7.8151,2.2571,0.0163,0.0416,0.1953038047544318
16905,pn_hijo,cont_rob,20,0.6,1.5,2,44,24,23,3,1.09,3,0.0254,2.3,7,3.735,0.01,0.899,1.955,1.9244,2.0579,43991.1676,6671.8147,100354.209,0.7525,11.4706,8.0767,1.4089,0.0347,0.0434,0.16776664679383443
8121,umap_2d,cont_rob,16,0.3,1.5,2,42,21,25,4,1.0,3,0.0244,2.4,7,3.678,0.01,0.899,3.0248,3.0513,3.1746,81067.4182,5538.5674,124270.5836,0.6187,8.7155,5.215,1.5503,0.036,0.0454,0.23327225977156532
2145,pca_2,all_mixed,20,0.6,1.5,2,44,29,22,7,1.32,3,0.0307,2.4,8,3.705,0.011,0.8989,4.0311,4.1534,4.0667,185350.4352,5178.7794,37570.5831,0.6891,12.533,6.7616,0.9394,0.0056,0.0434,0.26811412701554077
2829,pca_2d,cont_rob,20,0.4,1.5,2,51,43,23,15,1.69,5,0.0337,2.7,8,3.833,0.011,0.8989,2.5467,2.5445,2.7251,43898.3899,7154.7119,82310.2603,0.3763,9.5487,5.3254,1.6365,0.0333,0.0723,0.18535843347727857
15105,imc_antes,all_mixed,20,0.6,1.5,2,40,24,21,5,1.2,4,0.0308,2.4,8,3.596,0.011,0.8989,4.101,4.212,4.1208,198213.5624,5597.2069,43697.1373,0.6669,11.4253,6.7605,0.9598,0.0061,0.0475,0.2773962733829039
3084,pca_2d,all_mixed,16,0.3,2.0,2,45,31,25,11,1.38,5,0.0313,2.4,8,3.719,0.011,0.8989,3.2486,3.3056,3.3935,182953.0239,5162.9044,60838.7469,0.748,9.8916,8.1126,1.3318,0.0156,0.0425,0.24978403955034165
